#------------------------------------------------------------------
# HARP 2007 data for Ta
#θ min θ max p min p max d^2\sig(pi-) / (dpdθ)
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                    3 GeV/c     5 GeV/c    8 GeV/c  12 GeV/c
#------------------------------------------------------------------
# tmin tmax pmin pmax  x3    ex3    x5    ex5   x8    ex8   x12  ex12
0.35   0.55 0.15 0.20 0.33  0.12   0.80  0.23  1.31  0.31  1.70  0.41
0.35   0.55 0.20 0.25 0.34  0.08   0.89  0.13  1.59  0.16  2.02  0.23
0.35   0.55 0.25 0.30 0.41  0.07   1.10  0.12  1.77  0.14  2.26  0.17
0.35   0.55 0.30 0.35 0.47  0.05   0.94  0.07  1.88  0.11  2.15  0.10
0.35   0.55 0.35 0.40 0.47  0.05   0.88  0.06  1.67  0.08  2.05  0.10
0.35   0.55 0.40 0.45 0.38  0.04   0.77  0.04  1.49  0.07  1.83  0.07
0.35   0.55 0.45 0.50 0.30  0.03   0.72  0.05  1.42  0.06  1.64  0.08
0.35   0.55 0.50 0.60 0.25  0.03   0.74  0.04  1.28  0.07  1.57  0.09
0.35   0.55 0.60 0.70 0.22  0.03   0.64  0.05  1.15  0.08  1.47  0.13
0.35   0.55 0.70 0.80 0.18  0.03   0.46  0.07  0.92  0.11  1.27  0.15

0.55   0.75 0.10 0.15 0.37  0.16   0.82  0.27  1.18  0.39  1.37  0.45
0.55   0.75 0.15 0.20 0.54  0.09   1.27  0.16  1.74  0.18  2.21  0.25
0.55   0.75 0.20 0.25 0.46  0.05   1.18  0.09  1.99  0.14  2.48  0.16
0.55   0.75 0.25 0.30 0.52  0.06   1.07  0.08  1.91  0.10  2.33  0.09
0.55   0.75 0.30 0.35 0.37  0.04   0.97  0.06  1.57  0.08  2.15  0.09
0.55   0.75 0.35 0.40 0.30  0.03   0.89  0.05  1.43  0.07  1.89  0.07
0.55   0.75 0.40 0.45 0.35  0.05   0.75  0.04  1.33  0.06  1.69  0.06
0.55   0.75 0.45 0.50 0.38  0.03   0.65  0.03  1.18  0.05  1.50  0.06
0.55   0.75 0.50 0.60 0.25  0.03   0.56  0.03  1.05  0.05  1.31  0.06
0.55   0.75 0.60 0.70 0.16  0.02   0.44  0.04  0.84  0.08  1.12  0.10
0.55   0.75 0.70 0.80 0.11  0.02   0.33  0.05  0.64  0.08  0.89  0.12

0.75   0.95 0.10 0.15 0.54  0.13   0.99  0.20  1.42  0.32  1.81  0.39
0.75   0.95 0.15 0.20 0.71  0.07   1.29  0.10  2.04  0.13  2.32  0.16
0.75   0.95 0.20 0.25 0.65  0.06   1.12  0.08  1.87  0.10  2.46  0.16
0.75   0.95 0.25 0.30 0.55  0.05   0.99  0.05  1.68  0.08  2.22  0.10
0.75   0.95 0.30 0.35 0.38  0.04   0.82  0.05  1.33  0.06  1.90  0.09
0.75   0.95 0.35 0.40 0.33  0.03   0.72  0.04  1.22  0.06  1.57  0.07
0.75   0.95 0.40 0.45 0.27  0.03   0.64  0.03  1.01  0.05  1.33  0.05
0.75   0.95 0.45 0.50 0.19  0.02   0.57  0.03  0.88  0.04  1.12  0.05
0.75   0.95 0.50 0.60 0.14  0.02   0.46  0.03  0.71  0.04  0.92  0.05
0.75   0.95 0.60 0.70 0.09  0.01   0.30  0.04  0.56  0.05  0.69  0.07

0.95   1.15 0.10 0.15 0.74  0.12  1.30  0.21  1.86  0.29  2.12  0.36
0.95   1.15 0.15 0.20 0.65  0.06  1.39  0.08  2.13  0.13  2.32  0.13
0.95   1.15 0.20 0.25 0.55  0.05  1.02  0.07  1.69  0.09  2.11  0.12
0.95   1.15 0.25 0.30 0.48  0.04  0.87  0.05  1.42  0.08  1.80  0.08
0.95   1.15 0.30 0.35 0.37  0.03  0.69  0.04  1.10  0.06  1.45  0.07
0.95   1.15 0.35 0.40 0.29  0.03  0.54  0.03  0.89  0.04  1.13  0.06
0.95   1.15 0.40 0.45 0.22  0.02  0.43  0.02  0.75  0.03  0.91  0.05
0.95   1.15 0.45 0.50 0.14  0.02  0.35  0.02  0.60  0.03  0.72  0.04
0.95   1.15 0.50 0.60 0.08  0.01  0.26  0.02  0.46  0.03  0.53  0.04

1.15   1.35 0.10 0.15 0.86  0.15  1.36  0.23  2.11  0.36  2.66  0.46
1.15   1.35 0.15 0.20 0.67  0.06  1.28  0.09  2.07  0.14  2.37  0.17
