"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/5/22, 9:45:00 AM"


38
X,Y
0.198238,1.,
0.198238,1.,
0.193833,191.260,
0.193833,166.574,
0.193833,234.069,
0.396476,110.040,
0.396476,93.8208,
0.392070,126.348,
0.581498,50.1081,
0.577093,44.5782,
0.577093,60.6751,
0.792952,30.4031,
0.788546,27.0479,
0.784141,37.2081,
0.977974,12.8516,
0.977974,11.4333,
0.982379,15.8962,
1.16740,5.60849,
1.17181,4.83293,
1.15419,6.79123,
1.33040,3.58872,
1.32599,3.05976,
1.33040,4.34553,
1.51982,2.10911,
1.51982,1.70515,
1.50661,2.72209,
1.70044,1.23954,
1.70925,0.752090,
1.70925,1.83688,
1.87665,0.276879,
1.88546,0.110980,
1.89427,0.428133,
2.22467,0.203424,
2.23348,0.120831,
2.23348,0.361169,
2.52863,0.0869077,
2.52863,0.0297003,
2.53304,0.188836,
