"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/12/22, 10:04:07 PM"


26
X,Y
-0.0525441,9639.95,
-0.0306203,98.4352,
0.0593554,13649.0,
0.0560410,11344.4,
0.0478613,17443.3,
0.222978,6408.49,
0.223951,5666.59,
0.221640,7589.75,
0.385840,1810.61,
0.386935,1576.56,
0.387817,2579.98,
0.546148,706.573,
0.528390,595.668,
0.544689,849.783,
0.685901,331.100,
0.692013,279.678,
0.688729,423.641,
0.826231,78.8326,
0.835627,43.9607,
0.835931,141.588,
0.980701,64.3638,
0.986540,30.7637,
0.994567,124.891,
1.11334,22.1574,
1.11416,10.9170,
1.10248,47.7872,
