"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/5/22, 10:29:38 AM"


35
X,Y
0.0264706,1036.81,
0.0176471,98.9426,
0.167647,2182.09,
0.172059,1840.79,
0.167647,2642.26,
0.383824,983.135,
0.383824,838.226,
0.375000,1153.10,
0.595588,663.424,
0.595588,559.658,
0.586765,820.592,
0.798529,325.436,
0.794118,226.722,
0.802941,433.630,
0.979412,154.628,
0.975000,114.820,
0.983824,208.238,
1.18235,71.1643,
1.18676,49.0540,
1.17794,97.8963,
1.34559,46.0228,
1.34118,31.0564,
1.35441,68.2017,
1.53529,33.8132,
1.52647,22.5760,
1.53529,47.5142,
1.73382,13.6980,
1.72941,7.79770,
1.73824,19.4541,
1.90588,14.7562,
1.91471,8.40010,
1.90588,20.0846,
2.10882,2.37074,
2.10000,0.634455,
2.10882,4.98954,
