"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/12/22, 10:12:28 PM"


29
X,Y
-0.0889114,10727267,
-0.0306203,98.4352,
0.00918305,25998578,
0.0105210,21952194,
0.00760187,31752630,
0.203031,10018302,
0.199959,8.07448e+06,
0.196554,12420336,
0.336033,3.29332e+06,
0.347527,2.57695e+06,
0.338861,4213782,
0.490381,2.73055e+06,
0.478857,1.91477e+06,
0.483418,3.60003e+06,
0.657288,846376,
0.651632,516996,
0.654490,1.20555e+06,
0.795337,491899,
0.789074,324486,
0.797436,690223,
0.938861,143094,
0.935394,66270.4,
0.944517,234260,
1.16047,33773.9,
1.16041,10168.6,
1.15548,63449.9,
1.46305,27486.2,
1.46740,8669.63,
1.44989,79398.3,
